RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,28237,Rory McIlroy,69.281,1378,7.623,20
2,0,46046,Scottie Scheffler,69.499,1656,11.968,24
3,0,34021,Bud Cauley,69.881,1805,11.903,26
4,1,49960,Sepp Straka,69.996,2620,39.854,38
5,1,50525,Collin Morikawa,70.019,1381,19.384,20
6,-2,46340,Alex Smalley,70.029,2216,24.934,32
7,0,39975,Michael Kim,70.051,2637,24.938,38
8,1,37378,Min Woo Lee,70.138,1806,17.589,26
9,1,60004,Jacob Bridgeman,70.158,2230,15.047,32
10,1,39324,J.J. Spaun,70.174,2436,20.087,35
11,1,33204,Shane Lowry,70.188,1821,3.887,26
12,1,34098,Russell Henley,70.220,1935,31.160,28
13,3,59018,Ryan Gerard,70.238,2646,23.056,38
14,-6,54628,Lee Hodges,70.285,1801,26.416,26
15,2,52453,Nicolai Højgaard,70.338,1250,16.087,18
16,-1,40026,Daniel Berger,70.361,2242,9.567,32
17,2,39546,Keith Mitchell,70.370,2360,32.563,34
18,0,33968,Thorbjørn Olesen,70.373,1121,4.967,16
19,1,33448,Justin Thomas,70.393,2221,31.570,32
20,-2,37275,Sam Ryder,70.481,2797,22.256,40
21,2,25900,Lucas Glover,70.490,2167,18.188,31
22,7,51287,Ryo Hisatsune,70.530,2236,20.945,32
23,2,60067,Joe Highsmith,70.571,2101,16.120,30
24,-2,32839,Hideki Matsuyama,70.572,2232,26.302,32
25,6,50484,Hayden Springer,70.610,1538,15.426,22
26,6,36799,Stephan Jaeger,70.612,2512,30.039,36
27,-1,57586,Jesper Svensson,70.659,2592,22.386,37
28,5,57975,Harry Hall,70.660,2635,50.071,38
29,7,49947,Taylor Moore,70.675,2237,24.595,32
30,7,52215,Robert MacIntyre,70.678,1809,28.637,26
31,-7,34076,Joel Dahmen,70.685,2171,20.226,31
32,-18,30911,Tommy Fleetwood,70.701,1701,-4.183,24
33,-5,31323,Gary Woodland,70.715,2104,17.448,30
34,5,33653,Thomas Detry,70.742,2518,28.708,36
35,-5,34256,Andrew Putnam,70.760,2030,22.053,29
36,7,23108,Matt Kuchar,70.776,1547,10.075,22
37,-2,39335,Kevin Roy,70.790,2026,26.909,29
38,3,47993,Denny McCarthy,70.794,2517,31.575,36
39,11,34587,Chan Kim,70.800,2592,27.618,37
40,-2,54591,Ben Griffin,70.803,3224,32.935,46
41,5,24024,Zach Johnson,70.806,1617,11.532,23
